        f (GHz),               Φ_pow[1] (W),               Φ_pow[2] (W),               Φ_pow[3] (W)
 2.43611000e+00,        +5.608617245904e-04,        +1.328999564958e-03,        -1.007530634338e-04
 2.43611500e+00,        +5.623047509297e-04,        +1.329116834380e-03,        -1.007661894838e-04
 2.43612000e+00,        +5.637557893507e-04,        +1.329234519507e-03,        -1.007793660401e-04
 2.43612500e+00,        +5.652148997709e-04,        +1.329352622328e-03,        -1.007925934122e-04
 2.43613000e+00,        +5.666821426697e-04,        +1.329471145482e-03,        -1.008058719233e-04
 2.43613500e+00,        +5.681575790966e-04,        +1.329590090997e-03,        -1.008192018857e-04
 2.43614000e+00,        +5.696412706754e-04,        +1.329709461301e-03,        -1.008325836191e-04
 2.43614500e+00,        +5.711332796127e-04,        +1.329829259173e-03,        -1.008460174591e-04
 2.43615000e+00,        +5.726336687029e-04,        +1.329949486583e-03,        -1.008595037235e-04
 2.43615500e+00,        +5.741425013364e-04,        +1.330070146148e-03,        -1.008730427453e-04
 2.43616000e+00,        +5.756598415051e-04,        +1.330191240056e-03,        -1.008866348549e-04
 2.43616500e+00,        +5.771857538101e-04,        +1.330312771251e-03,        -1.009002803879e-04
 2.43617000e+00,        +5.787203034685e-04,        +1.330434741737e-03,        -1.009139796777e-04
 2.43617500e+00,        +5.802635563203e-04,        +1.330557154502e-03,        -1.009277330737e-04
 2.43618000e+00,        +5.818155788353e-04,        +1.330680011255e-03,        -1.009415409133e-04
 2.43618500e+00,        +5.833764381212e-04,        +1.330803315220e-03,        -1.009554035469e-04
 2.43619000e+00,        +5.849462019301e-04,        +1.330927068916e-03,        -1.009693213165e-04
 2.43619500e+00,        +5.865249386668e-04,        +1.331051274583e-03,        -1.009832945869e-04
 2.43620000e+00,        +5.881127173952e-04,        +1.331175935226e-03,        -1.009973237020e-04
 2.43620500e+00,        +5.897096078473e-04,        +1.331301053226e-03,        -1.010114090247e-04
 2.43621000e+00,        +5.913156804294e-04,        +1.331426631150e-03,        -1.010255509170e-04
 2.43621500e+00,        +5.929310062322e-04,        +1.331552671688e-03,        -1.010397497401e-04
 2.43622000e+00,        +5.945556570361e-04,        +1.331679177656e-03,        -1.010540058619e-04
 2.43622500e+00,        +5.961897053214e-04,        +1.331806151565e-03,        -1.010683196548e-04
 2.43623000e+00,        +5.978332242756e-04,        +1.331933596399e-03,        -1.010826914993e-04
 2.43623500e+00,        +5.994862878016e-04,        +1.332061514503e-03,        -1.010971217584e-04
 2.43624000e+00,        +6.011489705266e-04,        +1.332189909099e-03,        -1.011116108210e-04
 2.43624500e+00,        +6.028213478100e-04,        +1.332318782473e-03,        -1.011261590682e-04
 2.43625000e+00,        +6.045034957531e-04,        +1.332448137821e-03,        -1.011407668915e-04
 2.43625500e+00,        +6.061954912066e-04,        +1.332577977898e-03,        -1.011554346788e-04
 2.43626000e+00,        +6.078974117806e-04,        +1.332708305534e-03,        -1.011701628157e-04
 2.43626500e+00,        +6.096093358526e-04,        +1.332839123493e-03,        -1.011849517134e-04
 2.43627000e+00,        +6.113313425774e-04,        +1.332970434191e-03,        -1.011998017556e-04
 2.43627500e+00,        +6.130635118967e-04,        +1.333102241787e-03,        -1.012147133642e-04
 2.43628000e+00,        +6.148059245469e-04,        +1.333234548185e-03,        -1.012296869304e-04
 2.43628500e+00,        +6.165586620706e-04,        +1.333367356530e-03,        -1.012447228748e-04
 2.43629000e+00,        +6.183218068249e-04,        +1.333500670104e-03,        -1.012598216151e-04
 2.43629500e+00,        +6.200954419918e-04,        +1.333634491932e-03,        -1.012749835592e-04
 2.43630000e+00,        +6.218796515880e-04,        +1.333768824584e-03,        -1.012902091346e-04
 2.43630500e+00,        +6.236745204750e-04,        +1.333903671620e-03,        -1.013054987688e-04
 2.43631000e+00,        +6.254801343691e-04,        +1.334039035521e-03,        -1.013208528862e-04
 2.43631500e+00,        +6.272965798523e-04,        +1.334174920025e-03,        -1.013362719296e-04
 2.43632000e+00,        +6.291239443822e-04,        +1.334311327887e-03,        -1.013517563249e-04
 2.43632500e+00,        +6.309623163029e-04,        +1.334448262580e-03,        -1.013673065197e-04
 2.43633000e+00,        +6.328117848564e-04,        +1.334585726847e-03,        -1.013829229571e-04
 2.43633500e+00,        +6.346724401925e-04,        +1.334723724277e-03,        -1.013986060887e-04
 2.43634000e+00,        +6.365443733806e-04,        +1.334862257953e-03,        -1.014143563594e-04
 2.43634500e+00,        +6.384276764209e-04,        +1.335001330927e-03,        -1.014301742353e-04
 2.43635000e+00,        +6.403224422558e-04,        +1.335140946726e-03,        -1.014460601721e-04
 2.43635500e+00,        +6.422287647815e-04,        +1.335281108543e-03,        -1.014620146423e-04
 2.43636000e+00,        +6.441467388596e-04,        +1.335421820052e-03,        -1.014780381057e-04
 2.43636500e+00,        +6.460764603297e-04,        +1.335563084225e-03,        -1.014941310437e-04
