        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1]
 2.41632000e+00,        +3.710687042265e-09,        +3.647253662482e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +2.644789753305e-11,        +7.127493434992e-03,        +3.598672206069e-11,        +9.866799896830e-03
 2.41634000e+00,        +3.679011558463e-09,        +3.615594265047e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +2.623312436367e-11,        +7.130481638017e-03,        +3.567471346270e-11,        +9.866901772575e-03
 2.41636000e+00,        +3.647762449587e-09,        +3.584361162434e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +2.602115042401e-11,        +7.133455312299e-03,        +3.536695550387e-11,        +9.867017831388e-03
 2.41638000e+00,        +3.616932117091e-09,        +3.553546756505e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +2.581192670141e-11,        +7.136414471105e-03,        +3.506337191947e-11,        +9.867148041680e-03
 2.41640000e+00,        +3.586513130320e-09,        +3.523143617013e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +2.560540525417e-11,        +7.139359127870e-03,        +3.476388813688e-11,        +9.867292371792e-03
 2.41642000e+00,        +3.556498222085e-09,        +3.493144477184e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +2.540153918353e-11,        +7.142289296195e-03,        +3.446843123094e-11,        +9.867450789992e-03
 2.41644000e+00,        +3.526880284395e-09,        +3.463542229445e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +2.520028260665e-11,        +7.145204989847e-03,        +3.417692988079e-11,        +9.867623264482e-03
 2.41646000e+00,        +3.497652364300e-09,        +3.434329921270e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +2.500159063029e-11,        +7.148106222756e-03,        +3.388931432782e-11,        +9.867809763392e-03
 2.41648000e+00,        +3.468807659865e-09,        +3.405500751150e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +2.480541932532e-11,        +7.150993009018e-03,        +3.360551633503e-11,        +9.868010254784e-03
 2.41650000e+00,        +3.440339516272e-09,        +3.377048064695e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +2.461172570203e-11,        +7.153865362889e-03,        +3.332546914758e-11,        +9.868224706654e-03
 2.41652000e+00,        +3.412241422024e-09,        +3.348965350842e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +2.442046768609e-11,        +7.156723298788e-03,        +3.304910745455e-11,        +9.868453086931e-03
 2.41654000e+00,        +3.384507005277e-09,        +3.321246238181e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +2.423160409526e-11,        +7.159566831295e-03,        +3.277636735170e-11,        +9.868695363477e-03
 2.41656000e+00,        +3.357130030271e-09,        +3.293884491389e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +2.404509461686e-11,        +7.162395975148e-03,        +3.250718630559e-11,        +9.868951504089e-03
 2.41658000e+00,        +3.330104393869e-09,        +3.266874007771e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +2.386089978574e-11,        +7.165210745247e-03,        +3.224150311851e-11,        +9.869221476500e-03
 2.41660000e+00,        +3.303424122205e-09,        +3.240208813899e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +2.367898096310e-11,        +7.168011156646e-03,        +3.197925789462e-11,        +9.869505248380e-03
 2.41662000e+00,        +3.277083367413e-09,        +3.213883062351e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +2.349930031569e-11,        +7.170797224559e-03,        +3.172039200696e-11,        +9.869802787336e-03
 2.41664000e+00,        +3.251076404475e-09,        +3.187891028553e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +2.332182079588e-11,        +7.173568964354e-03,        +3.146484806558e-11,        +9.870114060912e-03
 2.41666000e+00,        +3.225397628134e-09,        +3.162227107695e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +2.314650612204e-11,        +7.176326391555e-03,        +3.121256988636e-11,        +9.870439036592e-03
 2.41668000e+00,        +3.200041549925e-09,        +3.136885811757e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +2.297332075969e-11,        +7.179069521839e-03,        +3.096350246104e-11,        +9.870777681797e-03
 2.41670000e+00,        +3.175002795265e-09,        +3.111861766603e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +2.280222990308e-11,        +7.181798371039e-03,        +3.071759192781e-11,        +9.871129963892e-03
 2.41672000e+00,        +3.150276100647e-09,        +3.087149709174e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +2.263319945735e-11,        +7.184512955135e-03,        +3.047478554299e-11,        +9.871495850181e-03
